title,body
#BylerStrong,"AMRAP (with a Partner) in 32 minutes
Max Calorie Bike

Station1:
4 Rope Climbs
200 meter Medicine Ball Run (20/14 lb)

Station 2:
12 Thrusters (95/65 lb)
200 meter Medicine Ball Run (20/14 lb)

Station 3:
89 Double-Unders
200 meter Medicine Ball Run (20/14 lb)

One athlete should be on the Bike at all times. Switch after every station is completed."
#IAmVanessaGuillén,"4 Rounds for Time
22 Burpees
22 Kettlebell Swings (53/35 lb)
22 Double-Unders
22 Hang Cleans (95/65 lb)

Cash-Out: 70 calorie Row"
30526,Run 5K
1 Mile Run,"For Time
1 mile Run"
1 October,"For Time
From 0:00-10:00, perform:
91 Burpees Over the Bar
Rest in the remaining time.

From 10:01-20:00, perform:
58 Thrusters (95/65 lb)

Each time you break the thrusters add 20/10 lb in your bar."
1 Rep Max Front Squat,"For Load
1 rep max Front Squat

Time Cap: 12 minutes"
"1,000 Meter Row","For Time
1,000 meter Row"
1/4 Mile for Humanity,"For Time
400 meter Front Rack Lunges (45/35 lb)

*Every 10 lunges, perform:
5 Push Presses (45/35 lb)"
100%,"For Time
40 Box Jumps (30/24 in)
20 D-Ball Cleans (150/100 lb)

Time Cap: 5 minutes"
10k Row,"For Time
10,000 meter Row"
10x10,"10 Rounds for Time
10 calorie Assault Air Bike
10 Squat Snatches (95/65 lb)
10 Push-Ups
10 Russian Twists (25/15 lb)"
12 Bars of Christmas,"For Time
1 Deadlift (95/65 lb)
2 Hang Power Cleans (95/65 lb)
3 Front Squats (95/65 lb)
4 Shoulder Presses (95/65 lb)
5 Back Squats (95/65 lb)
6 Push Presses (95/65 lb)
7 Thrusters (95/65 lb)
8 Squat Cleans (95/65 lb)
9 Push Jerks (95/65 lb)
10 Hang Power Snatches (95/65 lb)
11 Overhead Squats (95/65 lb)
12 Sumo Deadlift High Pulls (95/65 lb)

Start with 1 Deadlift. Then do 2 Hang Power Cleans and 1 Deadlift. Then 3 Front Squats, 2 Hang Power Cleans, and 1 Deadlift. Continue this way until the final round of 12 Sumo Deadlift High Pulls, 11 Overhead Squats, and each movement descending in repetitions all the way down to 1 Deadlift."
12 Days of Christmas,"For Time, adding one movement per round:
1 Sumo Deadlift High-Pull (75/55 lb)
2 Thrusters (75/55 lb)
3 Push Presses (75/55 lb)
4 Power Cleans (75/55 lb)
5 Power Snatches (75/55 lb)
6 Kettlebell Swings (53/35 lb)
7 Pull-Ups
8 Knees-to-Elbows
9 Box Jumps (24/20 in)
10 Double-Unders
11 Burpees
12 Overhead Walking Lunges (45/25 lb Plate)

Start with 1 Sumo Deadlift High-Pull (SDLHP). Then do 2 Thrusters and 1 SDLHP. Then 3 Push Presses, 2 Thrusters, and 1 SDLHP. Continue this way until the final round of 12 Overhead Walking Lunges, 11 Burpees, and each movement descending in repetitions all the way down to 1 SDLHP — 364 total repetitions."
12 Days of Christmas: Dumbbell Circuit,"For Time
1 Dual Dumbbell Front Squat (2x50/35 lb)
2 Dual Dumbbells Devils Press (2x50/35 lb)
3 Dual Dumbbell Squat Cleans (2x50/35 lb)
4 Dual Dumbbell Deadlifts (2x50/35 lb)
5 Dual Dumbbell Push Press (2x50/35 lb)
6 Dual Dumbbell Suitcase Reverse Lunge (2x50/35 lb)
7 Dual Dumbbell Floor Press (2x50/35 lb)
8 Dual Dumbbell Muscle Power Cleans (2x50/35 lb)
9 Dual Dumbbell Romanian Deadlifts (2x50/35 lb)
10 Dual Dumbbells Step-Ups (2x50/35 lb, 24/20 in)
11 Dual Dumbbell Hang Snatches (2x50/35 lb)
12 Renegade Rows (2x50/35 lb)"
12 Days of DB Christmas,"For Time
1 Dumbbell Turkish Get-Up (50/35 lb)
2 Strict Toes-to-Bar
3 Burpees Over the Dumbbell
4 Dumbbell Power Snatches (alternating) (50/35 lb)
5 Supermans
6 Push-Ups
7 Single Dumbbell Front Squats (50/35 lb)
8 Single-Arm Dumbbell Hang Power Cleans (50/35 lb)
9 Dumbbell Sumo Deadlifts (50/35 lb)
10 Walking Lunge Steps (alternating)
11 Strict Sit-Ups
12 Dumbbell Swings (50/35lb)

Start with 1 Turkish Get-Up (TGU). Then do 2 Strict Toes-to-Bar and 1 TGU. Then 3 Burpees Over the Dumbbell, 2 Strict Toes-to-Bar, and 1 TGU. Continue this way until the final round of 12 Dumbbell Swings, 11 Strict Sit-Ups, and each movement descending in repetitions all the way down to 1 TGU — for 364 repetitions total."
12 Days of Xmas Barbell Style,"For Time
1 Deadlift
2 Hang Power Cleans
3 Front Squats
4 Shoulder Presses
5 Back Squats
6 Push Presses
7 Thrusters
8 Squat Cleans
9 Push Jerks
10 Hang Power Snatches
11 Overhead Squats
12 Sumo Deadlift High-Pulls

Use a single barbell throughout (95/65 lb)"
